product_id,product_url,product_title,product_rating,nbr_reviews_sales,current_price,discount_percentage,old_price
4392351544,https://www.etsy.com/fr/listing/4392351544/sac-cabas-en-velours-cotele-personnalise,"Sac cabas en velours côtelé personnalisé, sac en velours côtelé brodé, cadeau de Noël, cadeau d'anniversaire, cadeau pour demoiselle d'honneur, sac en velours côtelé décontracté, cadeau pour elle",4.9,3900,10.68,45.0,19.42
1852832959,https://www.etsy.com/fr/listing/1852832959/sac-fourre-tout-en-toile-brodee-sac-de,"Sac fourre-tout en toile brodée, sac de plage personnalisé avec initiales",4.8,1300,6.95,60.0,17.37
4373938822,https://www.etsy.com/fr/listing/4373938822/sac-fourre-tout-minimaliste-personnalise,Sac fourre-tout minimaliste personnalisé pour tous les jours avec fermeture à glissière - Cadeaux de demoiselle d'honneur - initiales brodées - Cabas personnalisé - Cabas en velours côtelé09-3,5.0,83,10.42,50.0,20.83
4387299123,https://www.etsy.com/fr/listing/4387299123/sac-fourre-tout-en-coton-matelasse,"Sac fourre-tout en coton matelassé : imprimé floral personnalisé, sac de plage bohème",4.8,168,17.56,25.0,23.42
4359920915,https://www.etsy.com/fr/listing/4359920915/sac-fourre-tout-personnalise-en-toile-de,Sac fourre-tout personnalisé en toile de jute| Sac de demoiselle d'honneur personnalisé| Sac de plage monogramme|Sac de mariage| Sac EVJF| Sac personnalisé pour toutes les occasions,4.9,846,2.31,55.0,5.15
4390172313,https://www.etsy.com/fr/listing/4390172313/sac-cabas-en-velours-cotele-personnalise,"Sac cabas en velours côtelé personnalisé, sac en velours côtelé brodé, cadeau de Noël, cadeau d'anniversaire, cadeau pour demoiselle d'honneur, sac cadeau personnalisé, cadeau pour elle",4.9,3900,10.68,45.0,19.42
4301871513,https://www.etsy.com/fr/listing/4301871513/sac-fourre-tout-en-toile-personnalise,"Sac fourre-tout en toile personnalisé, sac fourre-tout LOGO personnalisé, sac fourre-tout prénom, sac cadeau de demoiselle d'honneur, brodé avec initiales fourre-tout personnalisé, cadeau personnalisé",4.7,7900,0.09,67.0,0.28
1836666545,https://www.etsy.com/fr/listing/1836666545/tote-bag-petit-bazar-personnalise-ideal,Tote Bag Petit Bazar Personnalisé - Idéal pour Cadeaux !,5.0,370,,,
4377096883,https://www.etsy.com/fr/listing/4377096883/sac-fourre-tout-en-coton-matelasse-a,Sac fourre-tout en coton matelassé à imprimé jungle fait main : cabas de voyage et de plage,4.9,29,23.4,55.0,52.0
1726212776,https://www.etsy.com/fr/listing/1726212776/sac-cabas-en-jute-et-trousse,Sac cabas en jute et trousse personnalisées / cadeau maîtresse / cadeau maman / idée cadeau pour elle,4.7,767,,,
4410226304,https://www.etsy.com/fr/listing/4410226304/sac-fourre-tout-personnalise-en-toile-de,Sac fourre-tout personnalisé en toile de jute| Sac de demoiselle d'honneur personnalisé| Sac de plage à monogramme et illustration| Sac Bachelorette| Sac personnalisé pour toutes les occasions,4.9,846,6.44,55.0,14.3
4391512625,https://www.etsy.com/fr/listing/4391512625/fourre-tout-personnalise-en-velours,Fourre-tout personnalisé en velours côtelé • Sac brodé • Fourre-tout prénom personnalisé • Cadeau de demoiselle d'honneur • Cadeau d'anniversaire • Pochette cadeau pour le réveillon de Noël • Cadeau pour elle,5.0,2500,9.3,35.0,14.3
1785381490,https://www.etsy.com/fr/listing/1785381490/tote-bag-personnalise-baleines-pour,Tote bag personnalisé Baleines pour crèche ou ecole,5.0,229,12.67,25.0,16.9
1412595572,https://www.etsy.com/fr/listing/1412595572/sacs-fourre-tout-personnalises-pour,"Sacs fourre-tout personnalisés pour femme, cadeaux de demoiselle d'honneur, cadeaux de fête nuptiale, cadeau de demoiselle d'honneur, cadeaux d'enterrement de vie de jeune fille",4.8,3200,5.19,40.0,8.66
