"query","search interest","increase percent"
"happy socks",100,"-20%"
"chaussettes socks",91,"4%"
"chaussettes",90,"4%"
"socks chaussettes",90,"4%"
"socks nike",61,"40%"
"nike socks",61,"40%"
"nike",61,"30%"
"chaussette",56,"6%"
"compression socks",49,"40%"
"white socks",48,"20%"
"black socks",37,"50%"
"running socks",36,"50%"
"socks running",36,"50%"
"high socks",31,"10%"
"crew socks",28,"0%"
"ankle socks",28,"30%"
"long socks",26,"30%"
"yellow socks",23,"80%"
"wool socks",22,"9%"
"adidas socks",21,"40%"
"knee socks",20,"-8%"
"proxy socks",20,"-4%"
"socks traduction",20,"-10%"
"socks proxy",19,"-7%"
"grip socks",19,"80%"
"american socks",18,"-20%"
"football socks",18,"50%"
"red socks",17,"8%"
"yellow socks orchestra",16,"110%"
"chaussettes happy socks",15,"-20%"
"pilates socks",13,"110%"
"face socks",12,"130%"
"stance",12,"-9%"
"stance socks",12,"-10%"
"uniqlo",11,"30%"
"chaussette happy socks",11,"-10%"
"compressport",11,"40%"
"uniqlo socks",10,"30%"
"snow socks",10,"10%"
"chaussettes homme",10,"10%"
"toe socks",9,"10%"
"knee high socks",9,"-1%"
"nylon socks",9,"20%"
"falke",9,"50%"
"falke socks",9,"30%"
"chaussettes x socks",7,"20%"
"darn tough",7,"90%"
"darn tough socks",7,"100%"
"no show socks",7,"150%"
"puma socks",7,"140%"
