Month,tote bag,t_shirt,mug,hat,socks
2024-12-01,52173.913043478264,23358.050847457624,23385.30066815145,20744.68085106383,14742.014742014742
2025-01-01,46920.28985507247,24311.4406779661,21881.95991091314,20212.76595744681,12346.437346437344
2025-02-01,44565.21739130435,25264.830508474573,20378.619153674834,19946.808510638297,11609.33660933661
2025-03-01,44202.89855072464,28792.372881355932,19242.761692650336,19574.468085106382,11498.771498771495
2025-04-01,47463.76811594203,32772.77542372881,18708.24053452116,19747.340425531915,11240.78624078624
2025-05-01,46557.97101449275,33606.99152542373,18958.797327394208,21143.617021276594,11302.211302211303
2025-06-01,47536.23188405797,35656.779661016946,18908.6859688196,21808.510638297874,11695.331695331693
2025-07-01,58152.17391304348,36824.68220338983,19543.429844097995,21409.574468085106,12285.012285012284
2025-08-01,70000.0,45000.0,22449.88864142539,22819.14893617021,13759.213759213757
2025-09-01,53442.02898550725,40280.72033898305,22383.073496659246,22473.40425531915,13206.388206388207
2025-10-01,49818.840579710144,36943.85593220339,23301.781737193764,25000.0,14496.314496314495
2025-11-01,56231.884057971016,30985.16949152542,30000.0,25000.0,20000.0
